Channel			  :,CH1
Frequency			  :,F=  ?
Period 			  :,T=  ?
PK-PK				  :,Vpp=4.480V
Average			  :,V=4.733mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,40.00mV
Time interval		  :,0.01uS

index,CH1_Voltage(mV)
0,0.00
1,0.00
2,40.00
3,40.00
4,40.00
5,0.00
6,40.00
7,0.00
8,40.00
9,40.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,40.00
17,0.00
18,40.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,40.00
31,0.00
32,0.00
33,0.00
34,0.00
35,0.00
36,0.00
37,40.00
38,40.00
39,40.00
40,40.00
41,0.00
42,0.00
43,0.00
44,0.00
45,0.00
46,0.00
47,0.00
48,40.00
49,0.00
50,0.00
51,0.00
52,0.00
53,0.00
54,0.00
55,40.00
56,40.00
57,0.00
58,0.00
59,0.00
60,0.00
61,40.00
62,0.00
63,0.00
64,0.00
65,40.00
66,0.00
67,0.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,0.00
75,40.00
76,40.00
77,0.00
78,40.00
79,0.00
80,0.00
81,40.00
82,0.00
83,0.00
84,0.00
85,40.00
86,0.00
87,0.00
88,0.00
89,0.00
90,0.00
91,0.00
92,40.00
93,0.00
94,0.00
95,0.00
96,0.00
97,0.00
98,0.00
99,0.00
100,0.00
101,40.00
102,40.00
103,0.00
104,0.00
105,40.00
106,0.00
107,0.00
108,0.00
109,40.00
110,0.00
111,0.00
112,40.00
113,0.00
114,0.00
115,0.00
116,40.00
117,0.00
118,0.00
119,40.00
120,0.00
121,0.00
122,0.00
123,40.00
124,0.00
125,0.00
126,40.00
127,0.00
128,0.00
129,0.00
130,0.00
131,0.00
132,0.00
133,0.00
134,0.00
135,0.00
136,0.00
137,0.00
138,40.00
139,0.00
140,0.00
141,40.00
142,0.00
143,0.00
144,0.00
145,0.00
146,0.00
147,0.00
148,0.00
149,40.00
150,40.00
151,0.00
152,0.00
153,0.00
154,0.00
155,0.00
156,0.00
157,0.00
158,0.00
159,0.00
160,0.00
161,0.00
162,0.00
163,0.00
164,0.00
165,0.00
166,0.00
167,40.00
168,40.00
169,0.00
170,0.00
171,0.00
172,0.00
173,0.00
174,0.00
175,40.00
176,0.00
177,0.00
178,0.00
179,40.00
180,0.00
181,0.00
182,0.00
183,0.00
184,0.00
185,0.00
186,0.00
187,0.00
188,0.00
189,0.00
190,40.00
191,0.00
192,40.00
193,0.00
194,0.00
195,0.00
196,0.00
197,0.00
198,0.00
199,0.00
200,0.00
