Channel			  :,CH1
Frequency			  :,F=  ?
Period 			  :,T=  ?
PK-PK				  :,Vpp=4.480V
Average			  :,V=-13.80mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,10X
Voltage per ADC value:,40.00mV
Time interval		  :,0.00uS

index,CH1_Voltage(mV)
0,40.00
1,0.00
2,0.00
3,0.00
4,40.00
5,0.00
6,0.00
7,0.00
8,40.00
9,40.00
10,40.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,40.00
17,0.00
18,40.00
19,0.00
20,0.00
21,0.00
22,0.00
23,0.00
24,0.00
25,0.00
26,0.00
27,0.00
28,0.00
29,0.00
30,0.00
31,40.00
32,0.00
33,0.00
34,0.00
35,40.00
36,0.00
37,0.00
38,40.00
39,0.00
40,40.00
41,0.00
42,0.00
43,0.00
44,40.00
45,0.00
46,0.00
47,0.00
48,0.00
49,40.00
50,0.00
51,0.00
52,40.00
53,0.00
54,0.00
55,0.00
56,0.00
57,0.00
58,0.00
59,0.00
60,0.00
61,0.00
62,40.00
63,0.00
64,40.00
65,0.00
66,0.00
67,40.00
68,0.00
69,0.00
70,0.00
71,0.00
72,0.00
73,0.00
74,40.00
75,0.00
76,0.00
77,0.00
78,0.00
79,0.00
80,40.00
81,40.00
82,40.00
83,0.00
84,0.00
85,0.00
86,0.00
87,0.00
88,0.00
89,0.00
90,0.00
91,0.00
92,40.00
93,0.00
94,40.00
95,0.00
96,40.00
97,40.00
98,0.00
99,0.00
100,40.00
101,0.00
102,0.00
103,0.00
104,0.00
105,40.00
106,0.00
107,0.00
108,40.00
109,0.00
110,40.00
111,0.00
112,40.00
113,0.00
114,0.00
115,0.00
116,40.00
117,0.00
118,40.00
119,0.00
120,0.00
121,0.00
122,0.00
123,0.00
124,0.00
125,0.00
126,0.00
127,0.00
128,40.00
129,0.00
130,0.00
131,0.00
132,0.00
133,0.00
134,40.00
135,0.00
136,0.00
137,0.00
138,0.00
139,0.00
140,40.00
141,0.00
142,40.00
143,0.00
144,40.00
145,0.00
146,40.00
147,0.00
148,40.00
149,0.00
150,40.00
151,0.00
152,0.00
153,0.00
154,0.00
155,40.00
156,40.00
157,0.00
158,0.00
159,40.00
160,0.00
161,0.00
162,0.00
163,0.00
164,40.00
165,0.00
166,40.00
167,0.00
168,40.00
169,0.00
170,0.00
171,0.00
172,40.00
173,0.00
174,0.00
175,40.00
176,0.00
177,40.00
178,0.00
179,0.00
180,40.00
181,0.00
182,40.00
183,0.00
184,0.00
185,0.00
186,0.00
187,0.00
188,0.00
189,0.00
190,40.00
191,0.00
192,0.00
193,0.00
194,40.00
195,40.00
196,40.00
197,0.00
198,0.00
199,0.00
200,0.00
